sno,firstName,lastName,email,phone,status,category,offeredProgram,subjectName,programMode,numberofPrograms,state,address,joiningDate
52,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
53,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
54,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
55,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
56,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
57,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
58,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
59,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
60,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
61,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
62,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
63,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
64,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
65,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
66,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
67,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
68,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
69,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
70,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
71,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
72,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
73,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
74,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
75,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
76,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
77,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
78,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
79,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
80,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
81,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
82,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
83,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
84,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
85,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
86,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
87,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
88,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
89,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
90,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
91,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
92,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
93,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
94,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
95,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
96,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
97,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
98,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
99,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
100,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
